package_id,category,region,region_code,records,data_types,price_suggested,price_notes
thermo-global,Thermochronology,Global,GLOBAL,112725,"FT + HE + Vitrinite + Ar-Ar + Th",,All thermochronology data worldwide
thermo-afr,Thermochronology,Africa,AFR,6888,"FT(5521) + HE(1278) + VIT(1) + ArAr(23) + Th(64)",,
thermo-ant,Thermochronology,Antarctica,ANT,1317,"FT(758) + HE(122) + ArAr(435) + Th(2)",,
thermo-ara,Thermochronology,Arabia,ARA,1952,"FT(1670) + HE(270) + Th(12)",,
thermo-asi,Thermochronology,Asia,ASI,17092,"FT(12405) + HE(4645) + ArAr(10) + Th(32)",,
thermo-cas,Thermochronology,Central Asia,CAS,2796,"FT(2228) + HE(550) + ArAr(2) + Th(18)",,
thermo-eur,Thermochronology,Europe,EUR,13104,"FT(11937) + HE(639) + VIT(502) + ArAr(286) + Th(26)",,
thermo-nam,Thermochronology,North America,NAM,36726,"FT(11752) + HE(3599) + VIT(21245) + Th(130)",,
thermo-oce,Thermochronology,Oceania,OCE,12196,"FT(11394) + HE(554) + VIT(444) + Th(248)",,
thermo-sam,Thermochronology,South America,SAM,13927,"FT(9837) + HE(3356) + Th(734)",,
geochron-global,Geochronology,Global,GLOBAL,20067,"U-Pb + U-Pb SHRIMP",,All geochronology data worldwide (U-Pb dating)
geochron-afr,Geochronology,Africa,AFR,297,U-Pb,,
geochron-ant,Geochronology,Antarctica,ANT,27,U-Pb,,
geochron-ara,Geochronology,Arabia,ARA,8,U-Pb,,
geochron-asi,Geochronology,Asia,ASI,852,U-Pb,,
geochron-cas,Geochronology,Central Asia,CAS,34,U-Pb,,
geochron-eur,Geochronology,Europe,EUR,100,U-Pb,,
geochron-nam,Geochronology,North America,NAM,11068,U-Pb,,
geochron-oce,Geochronology,Oceania,OCE,7384,U-Pb,,
geochron-sam,Geochronology,South America,SAM,241,U-Pb,,
geochem-global,Geochemistry,Global,GLOBAL,325268,"GC + ISO",,All geochemistry data worldwide
geochem-afr,Geochemistry,Africa,AFR,1364,"GC(1354) + ISO(10)",,
geochem-ant,Geochemistry,Antarctica,ANT,1019,GC,,
geochem-ara,Geochemistry,Arabia,ARA,68960,GC,,
geochem-asi,Geochemistry,Asia,ASI,773,GC,,
geochem-cas,Geochemistry,Central Asia,CAS,1731,GC,,
geochem-eur,Geochemistry,Europe,EUR,205,GC,,
geochem-nam,Geochemistry,North America,NAM,105677,"GC(73131) + ISO(32546)",,
geochem-oce,Geochemistry,Oceania,OCE,141614,GC,,
geochem-sam,Geochemistry,South America,SAM,319,GC,,
