Name,Title
Dr. Fabian Kohlmann,Chief Executive Officer
Keith Dimech,Chief Operating Officer
Dr. Qusay Abeed,Geological Director
Dr. Wayne Peter Noble,Chief Information Officer
Dr. Mahdi AbuAli,GDAC Saudi Lead
SGS,Saudi Geological Survey
Gerd Moritz Theile,Chief Technology Officer
Juan Baca,Quality Manager
Vinko Novak,Head of Data Security
Pedro Ferreira,AI Software Development Lead
Dr. Behnam Sadeghi,ML Technical Advisor
Nilesh Vyavahare,GIS Full Stack Developer
Annemarie Grass,Head of Cyber Defence
Cris Ibarra,Geologist
Perla Luque,Geologist
Dr. Alejandra Bedoya,Geologist
Xinyan Zhang,Frontend Developer
Lujia Yang,Frontend Developer
Tarun Sengar,Backend Developer
Nirali Dudharejiya,Backend Developer
